dataset1,dataset2
large_aws/Combo_002.csv,medium/bit_001.csv
large_aws/Combo_003.csv,medium/bit_001.csv
large_aws/Combo_004.csv,medium/bit_001.csv
large_aws/Combo_005.csv,medium/bit_001.csv
large_aws/Combo_006.csv,medium/bit_001.csv
large_aws/Combo_001.csv,medium/bit_002.csv
large_aws/Combo_002.csv,medium/bit_002.csv
large_aws/Combo_003.csv,medium/bit_002.csv
large_aws/Combo_004.csv,medium/bit_002.csv
large_aws/Combo_005.csv,medium/bit_002.csv
large_aws/Combo_006.csv,medium/bit_002.csv
large_aws/Combo_001.csv,medium/bit_003.csv
large_aws/Combo_002.csv,medium/bit_003.csv
large_aws/Combo_003.csv,medium/bit_003.csv
large_aws/Combo_004.csv,medium/bit_003.csv
large_aws/Combo_005.csv,medium/bit_003.csv
large_aws/Combo_006.csv,medium/bit_003.csv
large_aws/Combo_001.csv,medium/bit_004.csv
large_aws/Combo_002.csv,medium/bit_004.csv
large_aws/Combo_003.csv,medium/bit_004.csv
large_aws/Combo_004.csv,medium/bit_004.csv
large_aws/Combo_005.csv,medium/bit_004.csv
large_aws/Combo_006.csv,medium/bit_004.csv
large_aws/Combo_001.csv,medium/bit_005.csv
large_aws/Combo_002.csv,medium/bit_005.csv
large_aws/Combo_003.csv,medium/bit_005.csv
large_aws/Combo_004.csv,medium/bit_005.csv
large_aws/Combo_005.csv,medium/bit_005.csv
large_aws/Combo_006.csv,medium/bit_005.csv
large_aws/Combo_001.csv,medium/bit_006.csv
large_aws/Combo_002.csv,medium/bit_006.csv
large_aws/Combo_003.csv,medium/bit_006.csv
large_aws/Combo_004.csv,medium/bit_006.csv
large_aws/Combo_005.csv,medium/bit_006.csv
large_aws/Combo_006.csv,medium/bit_006.csv
large_aws/Combo_001.csv,medium/bit_007.csv
large_aws/Combo_002.csv,medium/bit_007.csv
large_aws/Combo_003.csv,medium/bit_007.csv
large_aws/Combo_004.csv,medium/bit_007.csv
large_aws/Combo_005.csv,medium/bit_007.csv
large_aws/Combo_006.csv,medium/bit_007.csv
large_aws/Combo_001.csv,medium/bit_008.csv
large_aws/Combo_002.csv,medium/bit_008.csv
large_aws/Combo_003.csv,medium/bit_008.csv
large_aws/Combo_004.csv,medium/bit_008.csv
large_aws/Combo_005.csv,medium/bit_008.csv
large_aws/Combo_006.csv,medium/bit_008.csv
large_aws/Combo_001.csv,medium/bit_009.csv
large_aws/Combo_002.csv,medium/bit_009.csv
large_aws/Combo_003.csv,medium/bit_009.csv
large_aws/Combo_004.csv,medium/bit_009.csv
large_aws/Combo_005.csv,medium/bit_009.csv
large_aws/Combo_006.csv,medium/bit_009.csv
large_aws/Combo_001.csv,medium/bit_010.csv
large_aws/Combo_002.csv,medium/bit_010.csv
large_aws/Combo_003.csv,medium/bit_010.csv
large_aws/Combo_004.csv,medium/bit_010.csv
large_aws/Combo_005.csv,medium/bit_010.csv
large_aws/Combo_006.csv,medium/bit_010.csv
OSM2015_buildings_data_big_02.csv,OSM2015_lakes_data_big_05.csv
OSM2015_buildings_data_big_02.csv,OSM2015_lakes_data_big_06.csv
OSM2015_buildings_data_big_02.csv,OSM2015_parks_data_big_02.csv
OSM2015_buildings_data_big_02.csv,OSM2015_roads_data_big_01.csv
OSM2015_buildings_data_big_02.csv,OSM2015_roads_data_big_02.csv
OSM2015_buildings_data_big_02.csv,TIGER2017_LINEARWATER_data_big_17.csv
OSM2015_buildings_data_big_02.csv,TIGER2017_LINEARWATER_data_big_18.csv
OSM2015_buildings_data_big_02.csv,TIGER2017_LINEARWATER_data_big_22.csv
OSM2015_buildings_data_big_02.csv,TIGER2017_LINEARWATER_data_big_23.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_02.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_03.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_04.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_08.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_09.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_10.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_14.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_15.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_16.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_19.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_20.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_21.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_22.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_27.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_EDGES_data_big_28.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_FACES_data_big_02.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_FACES_data_big_03.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_FACES_data_big_04.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_FACES_data_big_09.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_FACES_data_big_10.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_FACES_data_big_11.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_FACES_data_big_16.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_FACES_data_big_17.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_FACES_data_big_18.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_FACES_data_big_23.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_FACES_data_big_24.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_FACES_data_big_25.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_FACES_data_big_31.csv
OSM2015_buildings_data_big_02.csv,TIGER2018_FACES_data_big_32.csv
OSM2015_buildings_data_big_03.csv,OSM2015_parks_data_big_02.csv
OSM2015_buildings_data_big_03.csv,OSM2015_parks_data_big_03.csv
OSM2015_buildings_data_big_03.csv,OSM2015_roads_data_big_02.csv
OSM2015_buildings_data_big_03.csv,OSM2015_roads_data_big_03.csv
OSM2015_buildings_data_big_03.csv,TIGER2017_LINEARWATER_data_big_18.csv
OSM2015_buildings_data_big_03.csv,TIGER2017_LINEARWATER_data_big_23.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_EDGES_data_big_04.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_EDGES_data_big_05.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_EDGES_data_big_10.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_EDGES_data_big_11.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_EDGES_data_big_16.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_EDGES_data_big_17.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_EDGES_data_big_22.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_EDGES_data_big_28.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_EDGES_data_big_34.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_EDGES_data_big_35.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_04.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_05.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_06.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_11.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_12.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_13.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_18.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_19.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_20.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_25.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_26.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_32.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_33.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_40.csv
OSM2015_buildings_data_big_03.csv,TIGER2018_FACES_data_big_41.csv
OSM2015_buildings_data_big_12.csv,OSM2015_roads_data_big_10.csv
OSM2015_buildings_data_big_12.csv,OSM2015_roads_data_big_11.csv
OSM2015_buildings_data_big_15_09.csv,OSM2015_lakes_data_big_10.csv
OSM2015_buildings_data_big_15_09.csv,OSM2015_parks_data_big_07.csv
OSM2015_buildings_data_big_15_09.csv,OSM2015_parks_data_big_12.csv
OSM2015_buildings_data_big_15_09.csv,OSM2015_roads_data_big_12.csv
OSM2015_buildings_data_big_15_09.csv,OSM2015_roads_data_big_13.csv
OSM2015_buildings_data_big_15_10.csv,OSM2015_lakes_data_big_10.csv
OSM2015_buildings_data_big_15_10.csv,OSM2015_parks_data_big_07.csv
OSM2015_buildings_data_big_15_10.csv,OSM2015_parks_data_big_08.csv
OSM2015_buildings_data_big_15_10.csv,OSM2015_parks_data_big_12.csv
OSM2015_buildings_data_big_15_10.csv,OSM2015_parks_data_big_13.csv
OSM2015_buildings_data_big_15_10.csv,OSM2015_roads_data_big_13.csv
OSM2015_buildings_data_big_15_11.csv,OSM2015_lakes_data_big_10.csv
OSM2015_buildings_data_big_15_11.csv,OSM2015_parks_data_big_08.csv
OSM2015_buildings_data_big_15_11.csv,OSM2015_parks_data_big_13.csv
OSM2015_buildings_data_big_15_11.csv,OSM2015_roads_data_big_13.csv
OSM2015_buildings_data_big_15_13.csv,OSM2015_lakes_data_big_10.csv
OSM2015_buildings_data_big_15_13.csv,OSM2015_parks_data_big_12.csv
OSM2015_buildings_data_big_15_13.csv,OSM2015_roads_data_big_12.csv
OSM2015_buildings_data_big_15_13.csv,OSM2015_roads_data_big_13.csv
OSM2015_buildings_data_big_15_14.csv,OSM2015_lakes_data_big_10.csv
OSM2015_buildings_data_big_15_14.csv,OSM2015_parks_data_big_12.csv
OSM2015_buildings_data_big_15_14.csv,OSM2015_parks_data_big_13.csv
OSM2015_buildings_data_big_15_14.csv,OSM2015_roads_data_big_13.csv
OSM2015_buildings_data_big_15_15.csv,OSM2015_lakes_data_big_10.csv
OSM2015_buildings_data_big_15_15.csv,OSM2015_parks_data_big_13.csv
OSM2015_buildings_data_big_15_15.csv,OSM2015_roads_data_big_13.csv
OSM2015_lakes_data_big_05.csv,OSM2015_parks_data_big_02.csv
OSM2015_lakes_data_big_05.csv,OSM2015_roads_data_big_00.csv
OSM2015_lakes_data_big_05.csv,OSM2015_roads_data_big_01.csv
OSM2015_lakes_data_big_05.csv,OSM2015_roads_data_big_02.csv
OSM2015_lakes_data_big_05.csv,TIGER2017_LINEARWATER_data_big_17.csv
OSM2015_lakes_data_big_05.csv,TIGER2017_LINEARWATER_data_big_22.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_EDGES_data_big_02.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_EDGES_data_big_03.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_EDGES_data_big_08.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_EDGES_data_big_09.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_EDGES_data_big_14.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_EDGES_data_big_15.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_EDGES_data_big_19.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_EDGES_data_big_20.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_EDGES_data_big_21.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_EDGES_data_big_27.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_FACES_data_big_02.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_FACES_data_big_03.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_FACES_data_big_09.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_FACES_data_big_10.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_FACES_data_big_16.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_FACES_data_big_17.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_FACES_data_big_23.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_FACES_data_big_24.csv
OSM2015_lakes_data_big_05.csv,TIGER2018_FACES_data_big_31.csv
OSM2015_lakes_data_big_06.csv,OSM2015_buildings_data_big_03.csv
OSM2015_lakes_data_big_06.csv,OSM2015_parks_data_big_02.csv
OSM2015_lakes_data_big_06.csv,OSM2015_parks_data_big_03.csv
OSM2015_lakes_data_big_06.csv,OSM2015_parks_data_big_08.csv
OSM2015_lakes_data_big_06.csv,OSM2015_roads_data_big_02.csv
OSM2015_lakes_data_big_06.csv,OSM2015_roads_data_big_03.csv
OSM2015_lakes_data_big_06.csv,TIGER2017_LINEARWATER_data_big_17.csv
OSM2015_lakes_data_big_06.csv,TIGER2017_LINEARWATER_data_big_18.csv
OSM2015_lakes_data_big_06.csv,TIGER2017_LINEARWATER_data_big_22.csv
OSM2015_lakes_data_big_06.csv,TIGER2017_LINEARWATER_data_big_23.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_03.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_04.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_05.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_09.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_10.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_11.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_15.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_16.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_17.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_21.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_22.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_27.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_28.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_34.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_EDGES_data_big_35.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_03.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_04.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_05.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_06.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_10.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_11.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_12.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_13.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_17.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_18.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_19.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_20.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_24.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_25.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_26.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_31.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_32.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_33.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_40.csv
OSM2015_lakes_data_big_06.csv,TIGER2018_FACES_data_big_41.csv
OSM2015_lakes_data_big_07.csv,OSM2015_parks_data_big_03.csv
OSM2015_lakes_data_big_07.csv,OSM2015_parks_data_big_08.csv
OSM2015_lakes_data_big_07.csv,OSM2015_roads_data_big_03.csv
OSM2015_lakes_data_big_10.csv,OSM2015_buildings_data_big_14.csv
OSM2015_lakes_data_big_10.csv,OSM2015_buildings_data_big_15_05.csv
OSM2015_lakes_data_big_10.csv,OSM2015_buildings_data_big_15_06.csv
OSM2015_lakes_data_big_10.csv,OSM2015_buildings_data_big_16.csv
OSM2015_lakes_data_big_10.csv,OSM2015_buildings_data_big_21.csv
OSM2015_lakes_data_big_10.csv,OSM2015_buildings_data_big_22.csv
OSM2015_lakes_data_big_10.csv,OSM2015_parks_data_big_07.csv
OSM2015_lakes_data_big_10.csv,OSM2015_parks_data_big_08.csv
OSM2015_lakes_data_big_10.csv,OSM2015_parks_data_big_12.csv
OSM2015_lakes_data_big_10.csv,OSM2015_parks_data_big_13.csv
OSM2015_lakes_data_big_10.csv,OSM2015_roads_data_big_12.csv
OSM2015_lakes_data_big_10.csv,OSM2015_roads_data_big_13.csv
OSM2015_lakes_data_big_10.csv,OSM2015_roads_data_big_17.csv
OSM2015_lakes_data_big_10.csv,OSM2015_roads_data_big_18.csv
OSM2015_lakes_data_big_11.csv,OSM2015_buildings_data_big_16.csv
OSM2015_lakes_data_big_11.csv,OSM2015_buildings_data_big_22.csv
OSM2015_lakes_data_big_11.csv,OSM2015_parks_data_big_08.csv
OSM2015_lakes_data_big_11.csv,OSM2015_parks_data_big_13.csv
OSM2015_lakes_data_big_11.csv,OSM2015_roads_data_big_13.csv
OSM2015_lakes_data_big_11.csv,OSM2015_roads_data_big_18.csv
OSM2015_lakes_data_big_13.csv,OSM2015_parks_data_big_12.csv
OSM2015_lakes_data_big_13.csv,OSM2015_roads_data_big_17.csv
